"","w","age"
"1668",2650,61
"1669",2600,34
"1670",3700,55
"1671",1800,49
"1672",5000,57
"1673",2500,54
"1674",4500,44
"1675",3000,40
"1676",2500,59
"1677",2800,55
"1678",2500,53
"1679",2500,24
"1680",5000,40
"1681",2200,60
"1682",2000,26
"1683",3700,52
"1684",2500,26
"1685",2800,63
"1686",3000,37
"1687",1900,53
"1688",2200,55
"1689",2200,29
"1690",4000,48
"1691",4200,32
"1692",3500,37
"1693",2500,46
"1694",4500,59
"1695",1500,35
"1696",2400,62
"1697",650,39
"1698",4800,55
"1699",2200,20
"1700",2400,43
"1701",3500,46
"1702",2900,46
"1703",2700,20
"1704",2200,63
"1705",3000,44
"1706",2500,45
"1707",6000,52
"1708",2200,40
"1709",1500,59
"1710",4000,53
"1711",1025,59
"1712",2500,64
"1713",1950,25
"1714",3000,57
"1715",2600,44
"1716",4000,57
"1717",2700,58
"1718",5000,32
"1719",6000,34
"1720",2200,46
"1721",2150,50
"1722",5400,35
"1723",3000,26
"1724",2200,75
"1725",1910,25
"1726",3600,41
"1727",1950,58
"1728",1950,24
"1729",3000,50
"1730",2000,53
"1731",5700,45
"1732",2200,24
"1733",3000,23
"1734",2500,44
"1735",2800,26
"1736",3000,63
"1737",4000,20
"1738",2350,55
"1739",3000,37
"1740",2000,54
"1741",2300,36
"1742",2000,56
"1743",2900,33
"1744",2800,68
"1745",1940,48
"1746",2300,43
"1747",1000,46
"1748",4000,43
"1749",2000,59
"1750",4000,49
"1751",2100,57
"1752",2500,32
"1753",1860,29
"1754",4000,51
"1755",3000,28
"1756",2100,59
"1757",2150,57
"1758",3100,57
"1759",6000,46
"1760",1800,22
"1761",3700,55
"1762",1800,23
"1763",2700,45
"1764",1700,47
"1765",1980,42
"1766",2500,40
"1767",3000,62
"1768",2200,52
"1769",3400,40
"1770",2100,35
"1771",2100,44
"1772",2000,58
"1773",1900,24
"1774",1000,55
"1775",2000,39
"1776",3500,57
"1777",2700,54
"1778",4200,38
"1779",4000,37
"1780",4600,29
"1781",3600,40
"1782",2300,37
"1783",2200,54
"1784",2000,20
"1785",2500,45
"1786",3000,58
"1787",2500,60
"1788",2000,25
"1789",2000,46
"1790",2500,35
"1791",2300,29
"1792",300,78
"1793",2000,56
"1794",5700,45
"1795",2000,31
"1796",1920,63
"1797",2200,29
"1798",2900,37
"1799",2150,66
"1800",1850,26
"1801",1000,20
"1802",2290,34
"1803",4000,37
"1804",3200,32
"1805",2200,35
"1806",3000,42
"1807",2000,44
"1808",2100,34
"1809",6000,47
"1810",2900,35
"1811",4500,42
"1812",2100,57
"1813",6500,32
"1814",3500,46
"1815",250,15
"1816",2200,58
"1817",2200,44
"1818",5500,50
"1819",2500,56
"1820",3700,40
"1821",2000,41
"1822",1700,43
"1823",4600,49
"1824",3600,41
"1825",3500,44
"1826",2900,43
"1827",2100,33
"1828",4300,55
"1829",3200,37
"1830",2150,26
"1831",1400,23
"1832",3200,37
"1833",2100,48
"1834",2400,42
"1835",3710,36
"1836",2700,38
"1837",4000,64
"1838",3000,30
"1839",4000,37
"1840",2700,37
"1841",3000,46
"1842",4000,23
"1843",2100,53
"1844",3700,25
"1845",4700,31
"1846",2500,56
"1847",3700,50
"1848",5700,69
"1849",2200,49
"1850",4500,32
"1851",2000,39
"1852",4000,48
"1853",1990,50
"1854",3700,55
"1855",6000,39
"1856",3000,61
"1857",2500,39
"1858",2100,41
"1859",3500,51
"1860",3000,24
"1861",4500,42
"1862",3000,58
"1863",4000,45
"1864",3200,72
"1865",2900,59
"1866",2700,65
"1867",3000,48
"1868",2000,28
"1869",3100,32
"1870",4500,37
"1871",1600,36
"1872",3100,27
"1873",4000,44
"1874",600,21
"1875",1800,23
"1876",2500,32
"1877",2400,32
"1878",2700,45
"1879",5600,50
"1880",5600,50
"1881",2889,54
"1882",2600,27
"1883",2500,33
"1884",3200,44
"1885",3200,45
"1886",2200,59
"1887",2700,50
"1888",2500,36
"1889",2500,31
"1890",2000,24
"1891",4500,52
"1892",2000,25
"1893",2200,40
"1894",2200,33
"1895",300,78
"1896",4000,27
"1897",3000,30
"1898",2500,57
"1899",2700,59
"1900",5000,43
"1901",4000,63
"1902",3300,60
"1903",3100,46
"1904",2500,57
"1905",2000,28
"1906",1920,27
"1907",2000,51
"1908",2200,69
"1909",887,43
"1910",3600,55
"1911",2300,51
"1912",2500,31
"1913",2000,40
"1914",2600,29
"1915",1900,46
"1916",2000,44
"1917",9000,33
"1918",5000,41
"1919",2600,50
"1920",1700,52
"1921",3000,50
"1922",2500,31
"1923",3000,40
"1924",2500,61
"1925",3500,41
"1926",2500,52
"1927",3700,55
"1928",1750,46
"1929",3500,35
"1930",1987,37
"1931",3500,27
"1932",3200,47
"1933",2600,35
"1934",3200,52
"1935",1700,52
"1936",3000,38
"1937",1030,35
"1938",2500,38
"1939",1500,34
"1940",2000,25
"1941",5000,30
"1942",2000,40
"1943",5000,29
"1944",2500,21
"1945",1200,71
"1946",3900,27
"1947",1700,39
"1948",4500,43
"1949",9000,35
"1950",6000,41
"1951",1900,43
"1952",2000,42
"1953",1200,74
"1954",4000,36
"1955",2800,61
"1956",3000,53
"1957",2600,48
"1958",4000,42
"1959",2900,39
"1960",4700,40
"1961",2300,48
"1962",3700,48
"1963",3000,45
"1964",3000,54
"1965",3100,27
"1966",2300,40
"1967",6000,25
"1968",2900,42
"1969",2300,37
"1970",1950,31
"1971",1800,41
"1972",4000,38
"1973",2500,29
"1974",4200,29
"1975",3000,45
"1976",2500,41
"1977",3000,41
"1978",3200,56
"1979",4000,28
"1980",2200,71
"1981",2100,44
"1982",2700,45
"1983",2100,44
"1984",3000,44
"1985",2000,38
"1986",4000,40
"1987",3200,31
"1988",1800,70
"1989",3000,37
"1990",1920,65
"1991",1800,65
"1992",3800,34
"1993",2308,26
"1994",2980,43
"1995",4500,65
"1996",2200,62
"1997",3000,41
"1998",1900,53
"1999",2600,64
"2000",8000,51
"2001",1600,48
"2002",5000,48
"2003",5000,50
"2004",1700,24
"2005",0,39
"2006",2980,32
"2007",3500,32
"2008",11000,37
"2009",920,53
"2010",1800,58
"2011",6500,41
"2012",3500,35
"2013",2300,36
"2014",2000,40
"2015",2500,36
"2016",1900,51
"2017",5000,28
"2018",1980,44
"2019",2500,54
"2020",2800,37
"2021",2200,21
"2022",1700,28
"2023",1900,26
"2024",2700,46
"2025",3500,32
"2026",1700,30
"2027",1800,55
"2028",1400,56
"2029",3200,54
"2030",3500,29
"2031",3500,67
"2032",3000,71
"2033",4800,43
"2034",3800,45
"2035",2650,51
"2036",2700,51
"2037",2100,42
"2038",3500,30
"2039",2500,40
"2040",2650,33
"2041",2500,64
"2042",2000,39
"2043",3000,60
"2044",4200,37
"2045",2100,64
"2046",2800,53
"2047",2400,31
"2048",3300,37
"2049",1800,57
"2050",2100,58
"2051",4500,30
"2052",1500,66
"2053",2300,40
"2054",2700,30
"2055",2800,58
"2056",2600,51
"2057",1900,62
"2058",2000,56
"2059",2950,42
"2060",2500,50
"2061",2500,39
"2062",2625,51
"2063",2200,58
"2064",2000,62
"2065",2000,56
"2066",4000,26
"2067",2400,49
"2068",2600,46
"2069",1900,30
"2070",2000,38
"2071",2900,26
"2072",6000,41
"2073",2400,37
"2074",2400,27
"2075",6000,38
"2076",2200,47
"2077",2400,44
"2078",4000,36
"2079",3500,26
"2080",4300,54
"2081",2500,41
"2082",4000,41
"2083",3100,22
"2084",2500,42
"2085",1921,27
"2086",3000,27
"2087",4000,58
"2088",8100,52
"2089",6000,28
"2090",5000,41
"2091",1850,31
"2092",2200,34
"2093",4000,44
"2094",4000,42
"2095",1960,41
"2096",1850,25
"2097",1900,71
"2098",2800,29
"2099",2000,21
"2100",2500,24
"2101",2000,51
"2102",1900,61
"2103",4000,27
"2104",9000,42
"2105",2800,67
"2106",5200,36
"2107",6000,41
"2108",2600,34
"2109",1800,49
"2110",2500,48
"2111",2700,55
"2112",2900,44
"2113",4000,54
"2114",2600,45
"2115",1400,21
"2116",2000,54
"2117",500,54
"2118",1680,40
"2119",2500,41
"2120",2500,35
"2121",1900,35
"2122",2250,44
"2123",4300,39
"2124",2500,39
"2125",3000,39
"2126",900,48
"2127",2000,50
"2128",2700,32
"2129",2600,21
"2130",2600,46
"2131",1760,42
"2132",2800,37
"2133",2300,35
"2134",2500,55
"2135",2000,26
"2136",2300,39
"2137",2030,61
"2138",3200,44
"2139",4000,47
"2140",3200,39
"2141",2300,61
"2142",3200,53
"2143",1800,49
"2144",4500,48
"2145",1900,64
"2146",1400,62
"2147",2300,53
"2148",2500,26
"2149",4500,42
"2150",2000,29
"2151",3500,30
"2152",1900,27
"2153",3400,32
"2154",4200,37
"2155",3400,39
"2156",1850,48
"2157",3000,35
"2158",3000,50
"2159",2500,50
"2160",2600,46
"2161",2900,56
"2162",2500,57
"2163",1700,52
"2164",2880,60
"2165",2600,50
"2166",4000,31
"2167",3600,22
"2168",1500,39
"2169",2500,54
"2170",1100,56
"2171",2300,26
"2172",5000,51
"2173",2100,48
"2174",4500,39
"2175",2200,54
"2176",1865,45
"2177",2500,32
"2178",3000,59
"2179",1780,25
"2180",2600,47
"2181",4000,57
"2182",6500,34
"2183",2400,36
"2184",3800,60
"2185",3000,64
"2186",2000,63
"2187",1800,33
"2188",1000,60
"2189",2900,30
"2190",1920,34
"2191",2300,22
"2192",2100,30
"2193",3200,47
"2194",1700,37
"2195",1250,42
"2196",3100,27
"2197",1820,52
"2198",1900,47
"2199",1800,49
"2200",4000,50
"2201",2100,52
"2202",3700,52
"2203",2600,21
"2204",2750,23
"2205",2600,46
"2206",1920,36
"2207",3200,54
"2208",1500,50
"2209",3200,62
"2210",2000,47
"2211",3000,48
"2212",1300,70
"2213",1920,41
"2214",2100,52
"2215",2600,29
"2216",3400,50
"2217",4500,33
"2218",2840,36
"2219",3400,29
"2220",1900,52
"2221",1900,53
"2222",4000,45
"2223",2500,57
"2224",5000,47
"2225",2300,50
"2226",3000,47
"2227",2700,51
"2228",2100,65
"2229",2700,29
"2230",2500,54
"2231",1000,48
"2232",4500,41
"2233",2750,38
"2234",1500,67
"2235",2150,50
"2236",2000,58
"2237",2500,26
"2238",4000,54
"2239",2500,26
"2240",2300,24
"2241",2340,32
"2242",3500,37
"2243",3000,33
"2244",3500,48
"2245",4400,27
"2246",2300,30
"2247",3000,38
"2248",3200,37
"2249",4000,44
"2250",2800,41
"2251",3800,55
"2252",4000,46
"2253",3000,37
"2254",3000,42
"2255",2000,60
"2256",3000,48
"2257",2200,41
"2258",2000,42
"2259",2500,43
"2260",2290,34
"2261",1900,54
"2262",6000,61
"2263",3100,23
"2264",2700,46
"2265",3000,50
"2266",2890,46
"2267",4000,57
"2268",4000,51
"2269",2700,44
"2270",940,20
"2271",3500,50
"2272",3000,44
"2273",3000,32
"2274",1800,66
"2275",2300,56
"2276",6000,52
"2277",2800,62
"2278",2600,61
"2279",2300,50
"2280",5000,35
"2281",1930,61
"2282",1900,44
"2283",1800,25
"2284",2500,28
"2285",1800,56
"2286",4000,57
"2287",3000,45
"2288",3000,51
"2289",1650,55
"2290",3800,58
"2291",2000,56
"2292",3500,48
"2293",2200,32
"2294",1930,37
"2295",4000,33
"2296",4200,50
"2297",2600,50
"2298",2700,60
"2299",2500,66
"2300",2500,43
"2301",3000,26
"2302",2400,44
"2303",4000,28
"2304",2600,30
"2305",2600,26
"2306",2600,34
"2307",1500,47
"2308",2800,50
"2309",2600,22
"2310",2600,50
"2311",1790,37
"2312",3700,42
"2313",2400,22
"2314",4800,42
"2315",2600,27
"2316",1930,63
"2317",2750,46
"2318",600,31
"2319",4900,39
"2320",3500,34
"2321",4500,36
"2322",5700,48
"2323",5200,60
"2324",2300,56
"2325",4000,46
"2326",2000,23
"2327",3000,42
"2328",3000,41
"2329",4200,43
"2330",2700,32
"2331",3500,37
"2332",1800,48
"2333",3500,56
"2334",1900,37
"2335",4000,34
"2336",2100,36
"2337",2600,37
"2338",2000,36
"2339",7000,56
"2340",3500,60
"2341",3500,25
"2342",600,24
"2343",6000,37
"2344",1900,68
"2345",5500,40
"2346",2500,32
"2347",3000,26
"2348",800,78
"2349",2200,27
"2350",2600,53
"2351",3000,40
"2352",2750,56
"2353",2500,32
"2354",2700,65
"2355",3380,62
"2356",3400,61
"2357",2300,53
"2358",4200,29
"2359",3500,36
"2360",2300,51
"2361",2300,34
"2362",2350,29
"2363",1880,47
"2364",3400,34
"2365",2300,51
"2366",2500,23
"2367",3100,48
"2368",3400,49
"2369",1900,46
"2370",1500,37
"2371",5900,63
"2372",1866,30
"2373",4000,56
"2374",2200,42
"2375",4100,40
"2376",2600,56
"2377",2750,23
"2378",1900,55
"2379",2600,46
"2380",3500,33
"2381",3000,36
"2382",5000,39
"2383",2200,53
"2384",6000,56
"2385",2900,64
"2386",3500,32
"2387",3240,61
"2388",2400,57
"2389",3200,28
"2390",2200,28
"2391",9300,65
"2392",2300,51
"2393",3500,53
"2394",3900,58
"2395",1700,62
"2396",2500,34
"2397",4300,34
"2398",2500,62
"2399",3000,33
"2400",1500,22
"2401",3250,58
"2402",3000,37
"2403",2200,68
"2404",1600,42
"2405",1650,37
"2406",2300,58
"2407",2900,45
"2408",2500,45
"2409",2800,35
"2410",3100,34
"2411",4700,39
"2412",3200,61
"2413",2100,55
"2414",2800,58
"2415",3500,28
"2416",2600,26
"2417",2400,34
"2418",2500,21
"2419",4500,43
"2420",5500,40
"2421",3800,65
"2422",2500,29
"2423",2700,43
"2424",3200,31
"2425",3600,58
"2426",2700,59
"2427",3200,60
"2428",2500,56
"2429",1780,44
"2430",1634,43
"2431",2400,46
"2432",1300,68
"2433",2100,73
"2434",2000,66
"2435",2500,65
"2436",2400,38
"2437",10000,63
"2438",1900,35
"2439",2700,37
"2440",1900,46
"2441",1900,60
"2442",2500,28
"2443",2100,31
"2444",6000,33
"2445",1900,48
"2446",3800,33
"2447",2100,35
"2448",1000,67
"2449",2000,64
"2450",3400,60
"2451",2100,55
"2452",2700,21
"2453",3000,47
"2454",3500,61
"2455",1999,53
"2456",3700,41
"2457",3500,61
"2458",4000,31
"2459",2650,27
"2460",2400,59
"2461",2580,50
"2462",5000,41
"2463",3200,28
"2464",2000,62
"2465",2900,59
"2466",1900,52
"2467",3000,39
"2468",6000,49
"2469",1800,21
"2470",3500,58
"2471",2300,40
"2472",2300,39
"2473",3400,24
"2474",1600,54
"2475",4700,52
"2476",3200,57
"2477",2500,37
"2478",2100,44
"2479",2100,49
"2480",2200,62
"2481",2000,58
"2482",1600,64
"2483",2700,50
"2484",1650,58
"2485",1650,33
"2486",3500,34
"2487",2700,32
"2488",1400,34
"2489",3500,52
"2490",2400,26
"2491",4000,33
"2492",3000,36
"2493",3000,33
"2494",4500,55
"2495",1700,24
"2496",3000,60
"2497",2000,25
"2498",2500,53
"2499",1996,43
"2500",1850,22
"2501",4200,35
"2502",2200,28
"2503",2000,68
"2504",2500,27
"2505",4200,51
"2506",4000,27
"2507",6000,64
"2508",4000,41
"2509",3000,39
"2510",5200,43
"2511",3800,44
"2512",1200,42
"2513",2500,42
"2514",2400,32
"2515",3000,66
"2516",2000,26
"2517",2600,33
"2518",3000,27
"2519",900,58
"2520",1920,27
"2521",2300,61
"2522",1200,45
"2523",4000,45
"2524",3000,41
"2525",3500,43
"2526",1050,38
"2527",1885,29
"2528",1920,39
"2529",2700,35
"2530",5500,46
"2531",1600,36
"2532",2200,38
"2533",7000,67
"2534",3000,33
"2535",3000,48
"2536",830,62
"2537",3000,49
"2538",2800,55
"2539",4900,39
"2540",2500,49
"2541",2500,40
"2542",2500,32
"2543",2500,24
"2544",3000,28
"2545",5000,38
"2546",2300,59
"2547",2200,42
"2548",3000,59
"2549",3500,34
"2550",6000,33
"2551",4500,54
"2552",6100,30
"2553",2100,40
"2554",2100,56
"2555",4700,40
"2556",3000,45
"2557",13000,36
"2558",1500,62
"2559",2800,44
"2560",2050,36
"2561",3200,39
"2562",3100,23
"2563",2600,22
"2564",1100,63
"2565",1820,58
"2566",3400,51
"2567",2400,41
"2568",2200,37
"2569",4800,33
"2570",2500,50
"2571",1600,59
"2572",2000,27
"2573",1920,51
"2574",2200,59
"2575",4000,48
"2576",3000,41
"2577",13000,36
"2578",4500,36
"2579",4500,59
"2580",2500,59
"2581",2500,39
"2582",1800,45
"2583",2600,49
"2584",2700,52
"2585",3100,32
"2586",2400,43
"2587",3000,43
"2588",2500,33
"2589",1980,26
"2590",1980,51
"2591",1920,32
"2592",1800,37
"2593",3000,36
"2594",3100,36
"2595",1920,53
"2596",2500,56
"2597",5000,69
"2598",3000,42
"2599",2500,32
"2600",2400,41
"2601",2500,43
"2602",2000,26
"2603",4500,48
"2604",2300,53
"2605",3000,39
"2606",2500,32
"2607",2100,47
"2608",3000,28
"2609",2200,60
"2610",3500,30
"2611",5000,39
"2612",1987,48
"2613",2600,21
"2614",3100,45
"2615",3800,58
"2616",1930,51
"2617",3500,48
"2618",2100,32
"2619",2700,46
"2620",2600,44
"2621",4150,51
"2622",1870,49
"2623",3000,61
"2624",240,16
"2625",1000,64
"2626",1650,64
"2627",2000,53
"2628",3000,44
"2629",4400,32
"2630",3500,61
"2631",2000,41
"2632",1920,51
"2633",3600,52
"2634",1900,39
"2635",2500,59
"2636",1900,53
"2637",5000,40
"2638",2389,53
"2639",2500,20
"2640",2500,37
"2641",3200,50
"2642",2200,50
"2643",2100,54
"2644",3200,44
"2645",4100,44
"2646",2200,33
"2647",3250,57
"2648",4000,31
"2649",1600,54
"2650",1000,52
"2651",1750,26
"2652",2000,58
"2653",1900,48
"2654",2100,44
"2655",3000,60
"2656",2100,38
"2657",3500,59
"2658",2300,46
"2659",1900,53
"2660",2100,52
"2661",4000,37
"2662",3200,43
"2663",2200,30
"2664",5000,43
"2665",2500,43
"2666",2500,49
"2667",2200,44
"2668",2700,21
"2669",2400,40
"2670",1500,59
"2671",1800,48
"2672",2400,58
"2673",1900,37
"2674",3000,42
"2675",2300,23
"2676",1400,60
"2677",2500,34
"2678",2300,51
"2679",2400,46
"2680",3500,45
"2681",1700,23
"2682",5200,42
"2683",1600,31
"2684",3500,36
"2685",2500,30
"2686",3200,58
"2687",2900,34
"2688",2100,37
"2689",3000,32
"2690",3200,31
"2691",2000,48
"2692",2500,42
"2693",3000,58
"2694",3800,31
"2695",2400,37
"2696",1820,56
"2697",1100,45
"2698",6500,33
"2699",800,69
"2700",4000,50
"2701",1920,39
"2702",3700,60
"2703",10000,33
"2704",4200,30
"2705",2500,50
"2706",1900,46
"2707",1680,56
"2708",3600,56
"2709",2500,36
"2710",4000,50
"2711",2000,38
"2712",2600,55
"2713",2400,43
"2714",2500,37
"2715",2200,62
"2716",3000,48
"2717",3000,30
"2718",2600,44
"2719",2700,55
"2720",3500,40
"2721",1800,45
"2722",2100,51
"2723",2500,56
"2724",2700,49
"2725",3600,53
"2726",3000,27
"2727",3800,59
"2728",1500,42
"2729",2350,37
"2730",2200,31
"2731",2800,32
"2732",2000,23
"2733",1900,20
"2734",2200,39
"2735",2500,44
"2736",1800,48
"2737",3900,42
"2738",2700,35
"2739",3000,48
"2740",3300,49
"2741",1700,46
"2742",1700,47
"2743",3000,51
"2744",1950,49
"2745",2000,29
"2746",2600,34
"2747",4500,45
"2748",2500,42
"2749",2400,31
"2750",3000,26
"2751",1800,58
"2752",1920,38
"2753",1930,62
"2754",3500,57
"2755",2200,31
"2756",2100,27
"2757",8500,41
"2758",4000,53
"2759",2500,38
"2760",1700,32
"2761",1800,35
"2762",2600,55
"2763",2000,31
"2764",3000,49
"2765",2100,30
"2766",1750,59
"2767",900,68
"2768",3000,52
"2769",3500,58
"2770",3300,56
"2771",2500,49
"2772",1970,44
"2773",7500,45
"2774",3000,56
"2775",4000,65
"2776",2000,62
"2777",2000,41
"2778",2300,62
"2779",2500,33
"2780",3000,44
"2781",2100,56
"2782",3500,42
"2783",2800,50
"2784",3500,36
"2785",3000,30
"2786",2700,56
"2787",3800,41
"2788",1950,45
"2789",1921,54
"2790",3500,31
"2791",3000,36
"2792",1900,21
"2793",10000,35
"2794",3200,33
"2795",4400,59
"2796",2000,29
"2797",2000,27
"2798",3200,35
"2799",3000,58
"2800",4000,62
"2801",212,16
"2802",2500,31
"2803",2500,46
"2804",2500,32
"2805",1640,38
"2806",4000,38
"2807",2500,45
"2808",2500,53
"2809",1900,52
"2810",3900,32
"2811",3900,28
"2812",2500,56
"2813",6000,43
"2814",7000,56
"2815",7000,60
"2816",4200,59
"2817",2100,34
"2818",2400,45
"2819",2200,47
"2820",2460,39
"2821",1920,38
"2822",3500,55
"2823",2600,44
"2824",1300,72
"2825",2500,39
"2826",3250,40
"2827",2000,51
"2828",1500,63
"2829",3400,50
"2830",1900,18
"2831",3500,58
"2832",2100,48
"2833",2300,42
"2834",1500,57
"2835",2600,32
"2836",3000,46
"2837",2960,61
"2838",3200,62
"2839",3500,46
"2840",1921,44
"2841",4500,47
"2842",4500,38
"2843",3000,29
"2844",2100,23
"2845",3000,35
"2846",3500,44
"2847",1000,27
"2848",5100,40
"2849",5000,31
"2850",2250,32
"2851",5000,34
"2852",2600,50
"2853",3500,41
"2854",3300,26
"2855",3100,24
"2856",2200,47
"2857",3250,55
"2858",2500,62
"2859",1160,44
"2860",3800,25
"2861",2400,48
"2862",2200,41
"2863",1750,26
"2864",4000,58
"2865",2200,27
"2866",3800,48
"2867",1680,55
"2868",2500,56
"2869",6000,33
"2870",3000,47
"2871",1700,57
"2872",1700,54
"2873",8000,53
"2874",10500,44
"2875",2100,51
"2876",1900,53
"2877",1878,52
"2878",1500,61
"2879",1200,66
"2880",1000,65
"2881",4600,27
"2882",1500,64
"2883",3500,39
"2884",2500,40
"2885",2650,46
"2886",2650,45
"2887",5000,40
"2888",2000,66
"2889",1850,62
"2890",3000,56
"2891",3700,31
"2892",3900,57
"2893",2000,38
"2894",5000,63
"2895",2000,42
"2896",4200,45
"2897",3000,41
"2898",1680,56
"2899",2500,36
"2900",2000,34
"2901",3000,58
"2902",3000,46
"2903",2300,42
"2904",3500,55
"2905",3500,34
"2906",1800,53
"2907",3000,39
"2908",4100,58
"2909",1100,55
"2910",2700,24
"2911",2000,33
"2912",2300,52
"2913",1900,26
"2914",900,68
"2915",1928,38
"2916",3500,39
"2917",2500,39
"2918",2800,40
"2919",3600,66
"2920",260,19
"2921",1380,73
"2922",3000,52
"2923",2100,48
"2924",3500,32
"2925",3000,35
"2926",4000,32
"2927",3000,63
"2928",2000,45
"2929",2700,53
"2930",2800,51
"2931",5500,28
"2932",1600,57
"2933",3500,61
"2934",2500,57
"2935",1200,49
"2936",1800,35
"2937",5500,33
"2938",2200,59
"2939",3500,43
"2940",2500,42
"2941",2100,52
"2942",3000,59
"2943",3400,38
"2944",1800,26
"2945",1800,46
"2946",2000,42
"2947",2000,59
"2948",4200,38
"2949",2400,38
"2950",2800,54
"2951",2800,57
"2952",3000,37
"2953",2400,68
"2954",2000,26
"2955",2300,52
"2956",1850,49
"2957",600,65
"2958",7500,26
"2959",4000,41
"2960",1850,38
"2961",4500,56
"2962",2300,32
"2963",2100,47
"2964",3000,46
"2965",1600,20
"2966",3000,48
"2967",3000,55
"2968",3000,56
"2969",2700,22
"2970",5200,58
"2971",6000,27
"2972",3966,30
"2973",2500,38
"2974",1400,30
"2975",850,50
"2976",2500,32
"2977",2200,51
"2978",5000,38
"2979",2500,53
"2980",2400,32
"2981",1994,26
"2982",2700,34
"2983",4400,55
"2984",2700,43
"2985",2300,44
"2986",2000,48
"2987",2200,48
"2988",2100,25
"2989",3100,29
"2990",4000,54
"2991",1880,65
"2992",2400,45
"2993",2300,57
"2994",3000,35
"2995",2400,40
"2996",2500,56
"2997",3500,43
"2998",2600,45
"2999",2800,30
"3000",3000,33
"3001",3200,51
"3002",3500,50
"3003",4000,29
"3004",6500,31
"3005",2000,63
"3006",1000,60
"3007",2300,33
"3008",4500,50
"3009",1800,20
"3010",1760,44
"3011",3200,48
"3012",2500,46
"3013",4000,38
"3014",2200,39
"3015",2500,33
"3016",2400,31
"3017",1900,42
"3018",1600,38
"3019",2600,40
"3020",3500,30
"3021",4400,49
"3022",2000,54
"3023",6000,48
"3024",2700,66
"3025",2000,29
"3026",3900,35
"3027",4500,42
"3028",5800,44
"3029",3300,63
"3030",4000,37
"3031",5500,26
"3032",1900,41
"3033",2700,34
"3034",1750,54
"3035",10000,39
"3036",3000,45
"3037",3000,35
"3038",2050,54
"3039",4600,36
"3040",4500,33
"3041",2500,47
"3042",3500,56
"3043",3000,49
"3044",5000,57
"3045",2400,62
"3046",1980,58
"3047",230,46
"3048",2500,47
"3049",2600,29
"3050",2100,24
"3051",4700,64
"3052",1850,49
"3053",2500,32
"3054",3200,45
"3055",4000,59
"3056",1900,35
"3057",1950,56
"3058",1880,45
"3059",3400,37
"3060",3100,37
"3061",4700,56
"3062",4500,45
"3063",3000,43
"3064",1800,56
"3065",2600,37
"3066",2200,51
"3067",2500,40
"3068",2500,27
"3069",3500,36
"3070",1900,54
"3071",2500,53
"3072",3000,45
"3073",2000,44
"3074",4500,46
"3075",5000,29
"3076",2500,45
"3077",0,62
"3078",2500,40
"3079",3000,46
"3080",3300,35
"3081",1650,59
"3082",3000,53
"3083",2100,35
"3084",2000,26
"3085",10000,45
"3086",2400,38
"3087",2900,61
"3088",5500,32
"3089",2200,48
"3090",3500,27
"3091",2900,42
"3092",3900,51
"3093",2700,63
"3094",2500,33
"3095",1860,43
"3096",2710,37
"3097",1860,62
"3098",3200,48
"3099",2400,34
"3100",1780,40
"3101",1480,50
"3102",2200,48
"3103",2200,44
"3104",3600,65
"3105",2400,50
"3106",2350,46
"3107",3000,59
"3108",2000,62
"3109",1960,61
"3110",4800,27
"3111",3000,51
"3112",4000,27
"3113",1800,49
"3114",2700,41
"3115",2000,39
"3116",2100,58
"3117",1650,37
"3118",4000,44
"3119",2600,54
"3120",3907,34
"3121",2500,28
"3122",2500,30
"3123",3800,28
"3124",2500,39
"3125",1630,36
"3126",2700,63
"3127",2900,40
"3128",1800,31
"3129",3500,31
"3130",2600,54
"3131",4800,46
"3132",2200,45
"3133",3500,60
"3134",2400,40
"3135",5500,28
"3136",3500,51
"3137",2950,50
"3138",2200,27
"3139",3000,71
"3140",3500,63
"3141",2000,43
"3142",1000,28
"3143",2200,47
"3144",2500,48
"3145",2600,47
"3146",4500,51
"3147",3400,51
"3148",3000,45
"3149",3500,33
"3150",4000,36
"3151",4000,52
"3152",2750,56
"3153",5400,57
"3154",3000,60
"3155",2000,60
"3156",4500,42
"3157",2500,45
"3158",1400,33
"3159",2500,72
"3160",3500,31
"3161",3200,35
"3162",2800,60
"3163",2500,59
"3164",1950,48
"3165",1900,45
"3166",3230,57
"3167",3300,38
"3168",3000,43
"3169",1500,66
"3170",2800,56
"3171",3200,33
"3172",4500,31
"3173",4000,58
"3174",4000,61
"3175",2300,52
"3176",4050,28
"3177",3000,40
"3178",5700,33
"3179",1600,20
"3180",3000,48
"3181",3000,56
"3182",2300,57
"3183",4000,55
"3184",2800,28
"3185",2200,60
"3186",2000,37
"3187",4000,48
"3188",3200,59
"3189",2600,41
"3190",5000,46
"3191",3500,43
"3192",2200,39
"3193",2800,44
"3194",3300,40
"3195",3500,46
"3196",4000,59
"3197",3500,61
"3198",3500,30
"3199",3191,38
"3200",3500,44
"3201",2100,22
"3202",3500,61
"3203",1600,59
"3204",1920,41
"3205",2550,44
"3206",2000,64
"3207",3000,36
"3208",2300,33
"3209",1000,34
"3210",1850,53
"3211",5000,28
"3212",2660,46
"3213",2300,57
"3214",2000,47
"3215",3000,35
"3216",2000,26
"3217",1800,53
"3218",4200,35
"3219",2400,60
"3220",2200,33
"3221",3500,62
"3222",750,66
"3223",2200,53
"3224",5000,42
