"","w","age"
"401",2800,64
"402",3500,41
"403",6000,54
"404",3000,52
"405",1200,66
"406",2200,29
"407",7000,46
"408",4000,41
"409",2000,39
"410",1850,42
"411",2100,40
"412",1800,59
"413",3500,51
"414",1840,56
"415",4200,39
"416",3550,45
"417",1960,26
"418",3100,48
"419",2500,42
"420",2700,44
"421",4300,46
"422",2700,53
"423",3700,51
"424",4800,41
"425",1800,67
"426",2500,43
"427",6500,55
"428",800,42
"429",2540,27
"430",2000,46
"431",2500,35
"432",3500,25
"433",3300,38
"434",2500,42
"435",5000,44
"436",2600,57
"437",5000,49
"438",3000,20
"439",2100,56
"440",2700,52
"441",1750,49
"442",3500,50
"443",3500,55
"444",2000,42
"445",2300,62
"446",2250,53
"447",2400,58
"448",4200,49
"449",3500,58
"450",4500,44
"451",4000,47
"452",4000,35
"453",2200,50
"454",5600,46
"455",1800,34
"456",2500,40
"457",5000,36
"458",2400,30
"459",2600,41
"460",1900,71
"461",2000,28
"462",2100,43
"463",4750,53
"464",3000,43
"465",6000,50
"466",2000,59
"467",4900,31
"468",1200,41
"469",2500,52
"470",1930,32
"471",3100,37
"472",2400,31
"473",3700,42
"474",3500,28
"475",1700,40
"476",2500,44
"477",2100,62
"478",2900,46
"479",2400,38
"480",4400,27
"481",2700,56
"482",8500,44
"483",2100,27
"484",1800,44
"485",4000,53
"486",3000,55
"487",4500,57
"488",2500,63
"489",2200,55
"490",1950,51
"491",3500,55
"492",3600,43
"493",2300,40
"494",1650,55
"495",6000,50
"496",2000,65
"497",2200,34
"498",3000,39
"499",2200,38
"500",2040,60
"501",3300,55
"502",5000,59
"503",2000,42
"504",3700,29
"505",5000,56
"506",6500,32
"507",3500,25
"508",3200,27
"509",7000,50
"510",2500,57
"511",4300,53
"512",2700,54
"513",2000,37
"514",3300,41
"515",2500,43
"516",2044,57
"517",5200,50
"518",2050,53
"519",2600,62
"520",2550,28
"521",1920,46
"522",3100,39
"523",1920,55
"524",2200,29
"525",2700,52
"526",2200,51
"527",900,56
"528",3000,53
"529",1900,56
"530",2500,28
"531",1600,46
"532",3700,57
"533",1900,52
"534",2700,24
"535",2500,43
"536",2300,39
"537",1800,57
"538",3300,58
"539",3000,45
"540",2000,46
"541",1920,21
"542",1800,39
"543",700,65
"544",1900,63
"545",4000,61
"546",4500,48
"547",2150,61
"548",3000,59
"549",3500,43
"550",2000,40
"551",2500,24
"552",3100,54
"553",6000,35
"554",1740,56
"555",2400,45
"556",2000,60
"557",4500,63
"558",2800,46
"559",3100,32
"560",2700,29
"561",3000,52
"562",2600,33
"563",1300,37
"564",2500,57
"565",1860,49
"566",2600,36
"567",2800,43
"568",2200,62
"569",2800,29
"570",2200,41
"571",2000,60
"572",2550,38
"573",150,19
"574",980,50
"575",2000,50
"576",4500,41
"577",2800,54
"578",4500,45
"579",2250,44
"580",1890,60
"581",1880,58
"582",1500,62
"583",2200,41
"584",1890,35
"585",5500,42
"586",2000,54
"587",3000,38
"588",1900,44
"589",5500,40
"590",2350,54
"591",2500,37
"592",2105,57
"593",3360,38
"594",1500,64
"595",3000,45
"596",5800,48
"597",2200,49
"598",7500,34
"599",2800,40
"600",2000,36
"601",4000,26
"602",4500,53
"603",3000,58
"604",2300,41
"605",2300,29
"606",3500,49
"607",4000,52
"608",2400,37
"609",4200,37
"610",2300,39
"611",1900,41
"612",7500,45
"613",2500,42
"614",1800,67
"615",2200,60
"616",2000,26
"617",2500,48
"618",2300,58
"619",2800,21
"620",2100,47
"621",3000,63
"622",2300,32
"623",3500,33
"624",2100,49
"625",2200,52
"626",1950,64
"627",10000,38
"628",3000,44
"629",4400,52
"630",1500,24
"631",1800,35
"632",2900,50
"633",2800,47
"634",2500,45
"635",4700,46
"636",2800,40
"637",1900,41
"638",2910,39
"639",1600,45
"640",2400,29
"641",2300,56
"642",4250,42
"643",2200,55
"644",3000,59
"645",2500,54
"646",1750,52
"647",4600,42
"648",4000,52
"649",2200,50
"650",1700,59
"651",2700,52
"652",2200,26
"653",2000,26
"654",1630,36
"655",2500,54
"656",2100,49
"657",1920,51
"658",3500,49
"659",1630,44
"660",5000,44
"661",6000,50
"662",2250,42
"663",2100,25
"664",2000,63
"665",3800,26
"666",2000,31
"667",3500,48
"668",2000,46
"669",3500,38
"670",3200,52
"671",6000,62
"672",2000,38
"673",2000,70
"674",4500,35
"675",2300,41
"676",5100,53
"677",3200,51
"678",4500,59
"679",3200,39
"680",2200,62
"681",9000,31
"682",3000,52
"683",4000,39
"684",3000,29
"685",2350,24
"686",2500,39
"687",1950,20
"688",3500,60
"689",3200,35
"690",2000,53
"691",3000,38
"692",3700,41
"693",7500,39
"694",2950,31
"695",2800,38
"696",2300,54
"697",2100,56
"698",5000,34
"699",2000,35
"700",2100,54
"701",2200,46
"702",3500,52
"703",2300,33
"704",3000,33
"705",1500,22
"706",3250,58
"707",1800,47
"708",2980,25
"709",2950,42
"710",2700,57
"711",2500,33
"712",2000,43
"713",2450,33
"714",2000,35
"715",1200,36
"716",3000,34
"717",2000,55
"718",2020,46
"719",3200,31
"720",3000,36
"721",5000,31
"722",4000,31
"723",1920,47
"724",3000,42
"725",1800,38
"726",2500,55
"727",4300,45
"728",3700,42
"729",3100,59
"730",800,59
"731",1500,53
"732",4500,36
"733",2000,29
"734",3000,27
"735",3000,48
"736",3900,43
"737",4000,27
"738",3000,39
"739",3400,37
"740",2200,50
"741",2000,24
"742",2100,39
"743",2400,23
"744",2000,55
"745",5500,32
"746",2000,24
"747",2300,33
"748",4500,50
"749",3000,45
"750",1100,37
"751",1950,50
"752",2600,46
"753",2700,63
"754",6500,27
"755",2200,21
"756",2500,39
"757",12000,38
"758",1900,40
"759",3000,34
"760",1700,37
"761",1900,46
"762",2000,56
"763",450,62
"764",1930,62
"765",2900,38
"766",4100,41
"767",2300,39
"768",1800,47
"769",3000,26
"770",1634,37
"771",1125,30
"772",3600,53
"773",2200,49
"774",1950,49
"775",4600,33
"776",3200,38
"777",6000,34
"778",2100,31
"779",2500,46
"780",1950,47
"781",3700,42
"782",1900,39
"783",1500,53
"784",2800,36
"785",1900,53
"786",1900,50
"787",1878,50
"788",1878,52
"789",3100,57
"790",2000,50
"791",4000,37
"792",3200,34
"793",2200,47
"794",2500,37
"795",2500,59
"796",6300,63
"797",1860,39
"798",2200,46
"799",3200,36
"800",2300,52
"801",3000,40
"802",1850,57
"803",2800,57
"804",3000,40
"805",3000,35
"806",4800,61
"807",1900,41
"808",1900,23
"809",2450,33
"810",630,65
"811",3600,66
"812",3500,34
"813",4000,60
"814",2100,52
"815",2100,23
"816",3000,43
"817",5400,47
"818",2500,56
"819",3400,33
"820",2000,41
"821",2800,61
"822",2000,50
"823",2100,34
"824",1920,65
"825",3200,32
"826",2900,37
"827",2800,57
"828",2200,52
"829",3540,46
"830",2200,55
"831",1400,35
"832",3000,33
"833",3000,59
"834",2000,55
"835",2500,55
"836",2500,38
"837",4600,54
"838",9400,47
"839",5300,45
"840",2600,50
"841",4000,48
"842",2500,38
